SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages
1011.0,TVNZ Duke,MPEG-4/SD,1006.0,DVB-S2,22500,2/3,12358 H,tp NZ10U,,,,TVNZ Duke,https://www.lyngsat.com/tvchannels/nz/TVNZ-Duke.html,,,False,,Eng
1011.0,TVNZ Duke,MPEG-4/SD,1006.0,DVB-S2,22500,2/3,12358 H,tp NZ10U,,,,TVNZ Duke,https://www.lyngsat.com/tvchannels/nz/TVNZ-Duke.html,,,False,,Eng
1904.0,TVNZ Duke,MPEG-2/SD,520.0,DVB-S,22500,3/4,12483 H,tp NZ12U,,,,TVNZ Duke,https://www.lyngsat.com/tvchannels/nz/TVNZ-Duke.html,,,False,,Eng
1904.0,TVNZ Duke,MPEG-2/SD,520.0,DVB-S,22500,3/4,12483 H,tp NZ12U,,,,TVNZ Duke,https://www.lyngsat.com/tvchannels/nz/TVNZ-Duke.html,,,False,,Eng
,(feeds),,,DVB-S2,22500,2/3,12392 H,tp 11,,,,,,,,False,,
,(feeds),,,DVB-S,22500,3/4,12430 V,tp 3,,,,,,,,False,,
,(feeds),,,DVB-S,7200,3/4,12643 V,tp 7,,,,,,,,False,,
,(feeds),,,DVB-S,7200,3/4,12661 V,tp 7,,,,,,,,False,,
,(feeds),,,DVB-S,7200,3/4,12670 V,tp 7,,,,,,,,False,,
,(feeds),,,DVB-S,7200,3/4,12679 V,tp 7,,,,,,,,False,,
,(feeds),,,DVB-S2,30000,3/4,12709 H,tp 16,,,,,,,,False,,
,(feeds),,,DVB-S2,7500,3/4,12732 H,tp 16,,,,,,,,False,,
1212.0,Aljazeera English,MPEG-4/SD,1002.0,DVB-S2,22500,3/4,12394 H,tp NZ11L,,,,Aljazeera English,https://www.lyngsat.com/tvchannels/qa/Aljazeera-English.html,,,False,,Eng
1212.0,Aljazeera English,MPEG-4/SD,1002.0,DVB-S2,22500,3/4,12394 H,tp NZ11L,,,,Aljazeera English,https://www.lyngsat.com/tvchannels/qa/Aljazeera-English.html,,,False,,Eng
,ABC Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,https://www.lyngsat.com/providers/au/ABC-Sydney.html,,,,,True,ABC Sydney,
1200.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng
1200.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng
1200.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng
1200.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng
1200.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng
1200.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng
1200.0,ABC Radio Sydney,,,DVB-S2,1644,3/4,12443 V,tp 4,,,,ABC Radio Sydney,https://www.lyngsat.com/radiochannels/au/ABC-Radio-Sydney.html,,,False,ABC Sydney,Eng
