SID,Provider/Channel,Compression,VPID,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,is_Provider,Provider,FEC,SR,SYSTEM,Languages
,(feeds),,,3915 V,,,,,False,,3/4,4800,DVB-S2,
,(TV Asahi feeds),,,12276 H,tp 2,,,,False,,3/4,7082,DVB-S2,
,(TV Asahi feeds),,,12293 H,tp 2,,,,False,,3/4,7082,DVB-S2,
,(TV Asahi feeds),,,12302 H,tp 2,,,,False,,3/4,7082,DVB-S2,
,(feeds),,,12310 H,tp 2,,,,False,,3/4,3516,DVB-S2,
,(TV Asahi feeds),,,12356 H,tp 4,,,,False,,3/4,7082,DVB-S2,
200.0,TV Asahi,?-?HEVC/HD,513.0,12364 H,tp 4,,,,False,,2/3,8058,DVB-S2,Jpn
2.0,Sound of Hope,,,12367 V,tp 3,,,,False,,PSK,2,DVB-S2,Chi
2200.0,NTD TV China,?-?MPEG-4/SD,2202.0,12367 V,tp 3,,,,False,,PSK,2,DVB-S2,Chi
,(TV Asahi feeds),,,12373 H,tp 4,,,,False,,3/4,7082,DVB-S2,
1.0,Cable 4K,?-?HEVC/UHD,768.0,12403 H,tp 6,,,,False,,3/4,12222,DVB-S2,Jpn
2.0,[JCSAT 2B test card],?-?MPEG-2/SD,32.0,12436 H,tp 6,,,,False,,3/4,3096,DVB-S3,
10.0,Shinnyo-en (09-17),?-?MPEG-4/HD,258.0,12496 H,tp 8,,,,False,,3/4,4821,DVB-S4,Jpn
42.0,Worldmate,1-1MPEG-4/HD,200.0,12505 H,tp 8,,BISS,,False,,2/3,2856,DVB-S2,
,AOL Internet,,,12696 H,tp 16,,,,False,,1/2,10000,DVB-S2,
2.0,[JCSAT 2B test card],?-?MPEG-2/SD,32.0,12729 V,tp 15,,,,False,,3/4,3096,DVB-S3,
